Skills,Education,Interests,Desired_Income,Career_Path,Industry,Required_Experience,Location_Flexibility
Healthcare,High School,Social Work,195000,Astronomer,Engineering,5,On-Site
Teaching,PhD,Business,140000,Astronomer,Engineering,7,On-Site
Finance,PhD,Finance,110000,Video Game Designer,Education,6,On-Site
Problem Solving,Associate's,Tech,195000,DevOps Engineer,Environment,1,On-Site
Design,Associate's,Engineering,150000,Genetic Counselor,Business,3,Remote
Management,Associate's,Social Work,150000,Civil Engineer,Creative Arts,3,Remote
Programming,Associate's,Education,145000,Photographer,Healthcare,8,Remote
Design,Master's,Health,160000,Biomedical Engineer,Environment,1,On-Site
Data Analysis,Associate's,Social Work,135000,Software Developer,Business,2,On-Site
Data Analysis,PhD,Engineering,180000,Nurse Practitioner,Social Services,9,On-Site
Design,PhD,Tech,165000,Fashion Designer,Environment,4,On-Site
Teamwork,Bachelor's,Environment,40000,Information Security Analyst,Trades,8,Remote
Teamwork,High School,Engineering,100000,Ethical Hacker,Engineering,10,Remote
Problem Solving,PhD,Social Work,105000,Information Security Analyst,Creative Arts,3,Remote
Teamwork,Master's,Tech,30000,Photographer,Finance,10,On-Site
Finance,PhD,Finance,115000,Marine Biologist,Education,0,On-Site
Teamwork,Associate's,Business,135000,Elevator Mechanic,Education,0,On-Site
Design,High School,Environment,115000,Web Developer,Trades,1,Remote
Marketing,Associate's,Environment,185000,Photographer,Healthcare,1,On-Site
Data Analysis,PhD,Education,115000,Web Developer,Engineering,6,On-Site
Public Speaking,High School,Tech,50000,Ethical Hacker,Social Services,9,On-Site
Teaching,PhD,Social Work,30000,Sustainable Designer,Education,1,On-Site
Programming,Master's,Social Work,85000,Marine Biologist,Education,0,On-Site
Data Analysis,Bachelor's,Finance,55000,Biomedical Engineer,Social Services,5,On-Site
Teamwork,Master's,Business,65000,Elevator Mechanic,Trades,0,On-Site
Finance,Associate's,Health,85000,Sustainable Designer,Healthcare,9,On-Site
Programming,High School,Tech,160000,Fashion Designer,Finance,7,Remote
Critical Thinking,High School,Writing,35000,Astronomer,Healthcare,9,Remote
Healthcare,Master's,Social Work,55000,Marine Biologist,Engineering,5,Remote
Public Speaking,High School,Business,160000,Music Producer,Engineering,8,Remote
Writing,Master's,Tech,160000,Plumber,Engineering,5,On-Site
Critical Thinking,Associate's,Art,75000,Filmmaker,Trades,2,Remote
Public Speaking,PhD,Finance,40000,Elevator Mechanic,Finance,7,Remote
Management,High School,Art,110000,Auto Mechanic,Environment,10,On-Site
Management,High School,Environment,85000,Photographer,Environment,2,On-Site
Problem Solving,Bachelor's,Education,60000,Web Developer,Creative Arts,4,On-Site
Data Analysis,Master's,Finance,160000,Animator,Creative Arts,6,On-Site
Data Analysis,Associate's,Finance,145000,Ethical Hacker,Healthcare,0,On-Site
Critical Thinking,High School,Business,105000,Plumber,Finance,6,Remote
Public Speaking,PhD,Education,125000,Business Consultant,Creative Arts,7,On-Site
Finance,Master's,Environment,50000,Entrepreneur,Finance,7,Remote
Public Speaking,Bachelor's,Tech,35000,Animator,Business,3,On-Site
Management,Bachelor's,Business,105000,Marketing Manager,Social Services,2,On-Site
Design,Bachelor's,Business,170000,Information Security Analyst,Social Services,4,Remote
Problem Solving,Master's,Writing,60000,Photographer,Business,9,Remote
Writing,Master's,Art,195000,Environmental Scientist,Healthcare,1,On-Site
Management,Bachelor's,Writing,85000,Astronomer,Trades,2,On-Site
Teaching,Master's,Education,115000,Music Producer,Business,2,Remote
Design,Associate's,Health,150000,DevOps Engineer,Environment,2,Remote
Teamwork,PhD,Writing,80000,Plumber,Creative Arts,7,On-Site
Public Speaking,PhD,Tech,75000,Filmmaker,Healthcare,4,On-Site
Marketing,Master's,Environment,180000,Astronomer,Finance,0,Remote
Healthcare,Master's,Finance,130000,Ethical Hacker,Environment,10,On-Site
Marketing,Bachelor's,Art,100000,Genetic Counselor,Engineering,5,On-Site
Teaching,Bachelor's,Environment,65000,Video Game Designer,Technology,5,On-Site
Data Analysis,Bachelor's,Environment,75000,Video Game Designer,Environment,6,On-Site
Critical Thinking,Bachelor's,Education,130000,Plumber,Environment,4,Remote
Engineering,PhD,Health,70000,Professional Cuddler,Finance,2,Remote
Design,Bachelor's,Engineering,100000,Professional Cuddler,Social Services,3,Remote
Teamwork,PhD,Writing,150000,Data Scientist,Healthcare,4,On-Site
Public Speaking,Associate's,Art,45000,Business Consultant,Technology,4,On-Site
Writing,Associate's,Business,175000,Data Scientist,Technology,8,On-Site
Data Analysis,PhD,Education,115000,Marketing Manager,Education,3,Remote
Teamwork,Bachelor's,Art,100000,Ethical Hacker,Technology,0,Remote
Problem Solving,PhD,Finance,190000,Plumber,Trades,0,Remote
Writing,Bachelor's,Writing,60000,Music Producer,Creative Arts,8,On-Site
Management,High School,Environment,80000,Photographer,Healthcare,8,On-Site
Teaching,High School,Health,115000,Elevator Mechanic,Creative Arts,10,Remote
Marketing,Associate's,Social Work,110000,Auto Mechanic,Business,6,Remote
Healthcare,Master's,Health,130000,Professional Cuddler,Education,8,On-Site
Writing,Associate's,Environment,115000,Environmental Scientist,Environment,5,Remote
Programming,Master's,Tech,110000,Fashion Designer,Technology,4,On-Site
Teamwork,Master's,Education,165000,Ethical Hacker,Finance,2,Remote
Marketing,High School,Education,55000,Biomedical Engineer,Trades,0,Remote
Design,Master's,Finance,130000,Professional Cuddler,Social Services,0,Remote
Programming,Master's,Engineering,50000,Entrepreneur,Technology,9,Remote
Engineering,Master's,Art,85000,Sustainable Designer,Healthcare,8,Remote
Engineering,PhD,Engineering,185000,Ethical Hacker,Social Services,2,Remote
Design,Bachelor's,Tech,90000,Business Consultant,Trades,1,On-Site
Writing,Bachelor's,Finance,190000,Animator,Engineering,5,Remote
Management,Associate's,Social Work,160000,Sustainable Designer,Finance,3,On-Site
Writing,Associate's,Business,55000,Data Scientist,Healthcare,8,On-Site
Programming,Master's,Engineering,170000,Photographer,Environment,5,On-Site
Problem Solving,Bachelor's,Social Work,55000,Environmental Scientist,Finance,4,Remote
Marketing,Bachelor's,Education,70000,Auto Mechanic,Healthcare,9,On-Site
Teamwork,Bachelor's,Social Work,165000,Data Scientist,Technology,9,Remote
Healthcare,High School,Writing,115000,Filmmaker,Social Services,5,Remote
Teaching,Associate's,Finance,180000,Wind Turbine Technician,Healthcare,2,On-Site
Data Analysis,Master's,Environment,115000,Biomedical Engineer,Social Services,2,Remote
Marketing,Master's,Health,170000,Civil Engineer,Finance,2,On-Site
Marketing,Bachelor's,Art,90000,Fashion Designer,Social Services,1,Remote
Critical Thinking,PhD,Tech,170000,Physical Therapist,Healthcare,2,Remote
Marketing,PhD,Finance,60000,DevOps Engineer,Finance,5,On-Site
Problem Solving,Bachelor's,Tech,35000,Filmmaker,Finance,5,Remote
Critical Thinking,PhD,Tech,180000,Animator,Business,6,Remote
Design,High School,Finance,105000,Entrepreneur,Engineering,10,Remote
Teamwork,Bachelor's,Education,130000,Wind Turbine Technician,Trades,4,Remote
Finance,High School,Education,80000,Entrepreneur,Business,5,On-Site
Public Speaking,High School,Engineering,185000,Physical Therapist,Trades,4,Remote
Finance,Associate's,Education,45000,Auto Mechanic,Technology,9,Remote
Problem Solving,PhD,Art,85000,Plumber,Business,5,On-Site
Problem Solving,High School,Social Work,30000,Entrepreneur,Engineering,0,Remote
Engineering,PhD,Health,175000,Music Producer,Technology,6,Remote
Engineering,Master's,Social Work,60000,Software Developer,Business,4,On-Site
Data Analysis,PhD,Engineering,135000,Marketing Manager,Healthcare,3,On-Site
Healthcare,Associate's,Tech,135000,Food Taster,Trades,8,Remote
Design,Bachelor's,Business,85000,Plumber,Trades,6,Remote
Critical Thinking,Master's,Writing,95000,DevOps Engineer,Environment,2,On-Site
Critical Thinking,Associate's,Writing,190000,Information Security Analyst,Business,5,On-Site
Data Analysis,Associate's,Education,70000,Data Scientist,Technology,1,On-Site
Programming,Bachelor's,Finance,180000,Professional Cuddler,Education,3,Remote
Public Speaking,PhD,Education,135000,Civil Engineer,Healthcare,9,On-Site
Finance,Master's,Social Work,50000,Civil Engineer,Education,8,On-Site
Data Analysis,Associate's,Engineering,195000,Nurse Practitioner,Creative Arts,9,On-Site
Healthcare,PhD,Education,195000,Civil Engineer,Social Services,8,On-Site
Teaching,High School,Engineering,165000,Marketing Manager,Healthcare,3,Remote
Finance,Associate's,Social Work,70000,Food Taster,Trades,1,Remote
Engineering,Associate's,Health,70000,Fashion Designer,Business,5,Remote
Critical Thinking,Master's,Writing,195000,Video Game Designer,Finance,10,Remote
Engineering,PhD,Business,55000,Physical Therapist,Social Services,4,On-Site
Design,High School,Education,145000,Biomedical Engineer,Engineering,0,Remote
Data Analysis,Associate's,Writing,165000,Filmmaker,Healthcare,2,On-Site
Public Speaking,PhD,Education,140000,Video Game Designer,Technology,3,Remote
Management,Associate's,Art,110000,Professional Cuddler,Social Services,7,Remote
Design,Bachelor's,Social Work,95000,Physical Therapist,Trades,0,On-Site
Marketing,High School,Finance,150000,Biomedical Engineer,Technology,4,Remote
Public Speaking,High School,Social Work,75000,Genetic Counselor,Engineering,3,Remote
Marketing,Bachelor's,Art,170000,Data Scientist,Technology,1,On-Site
Marketing,Associate's,Business,45000,Ethical Hacker,Engineering,2,On-Site
Engineering,Bachelor's,Health,90000,Nurse Practitioner,Healthcare,9,On-Site
Design,High School,Finance,185000,Astronomer,Finance,10,On-Site
Problem Solving,PhD,Engineering,95000,Marketing Manager,Business,3,Remote
Programming,Associate's,Art,145000,Marketing Manager,Education,6,Remote
Writing,Bachelor's,Business,185000,Entrepreneur,Engineering,6,On-Site
Data Analysis,Master's,Environment,185000,Ethical Hacker,Healthcare,5,Remote
Data Analysis,Associate's,Social Work,80000,Entrepreneur,Business,1,Remote
Public Speaking,Associate's,Health,55000,Web Developer,Education,0,Remote
Design,Associate's,Writing,85000,Genetic Counselor,Social Services,0,Remote
Teaching,Master's,Education,65000,Filmmaker,Trades,0,Remote
Teaching,Associate's,Education,65000,Astronomer,Technology,8,Remote
Writing,High School,Engineering,170000,Food Taster,Trades,5,Remote
Finance,Master's,Art,195000,Plumber,Creative Arts,6,Remote
Healthcare,Associate's,Writing,120000,Fashion Designer,Technology,8,On-Site
Writing,PhD,Business,165000,Nurse Practitioner,Social Services,3,On-Site
Public Speaking,Bachelor's,Finance,185000,Music Producer,Creative Arts,0,On-Site
Marketing,Associate's,Art,150000,DevOps Engineer,Social Services,7,Remote
Public Speaking,High School,Engineering,105000,Fashion Designer,Technology,6,On-Site
Finance,High School,Tech,125000,Food Taster,Environment,9,Remote
Writing,PhD,Business,100000,Photographer,Trades,3,On-Site
Teaching,PhD,Social Work,115000,Environmental Scientist,Technology,5,On-Site
Finance,High School,Health,160000,Business Consultant,Trades,10,On-Site
Data Analysis,High School,Health,130000,Elevator Mechanic,Social Services,7,On-Site
Marketing,High School,Health,90000,Ethical Hacker,Education,3,On-Site
Data Analysis,Bachelor's,Education,30000,Sustainable Designer,Business,9,Remote
Teaching,Master's,Business,45000,Software Developer,Finance,8,Remote
Writing,Master's,Writing,195000,Wind Turbine Technician,Trades,9,Remote
Writing,PhD,Engineering,60000,Filmmaker,Trades,3,Remote
Data Analysis,PhD,Engineering,140000,Auto Mechanic,Technology,1,On-Site
Critical Thinking,Associate's,Tech,65000,Fashion Designer,Social Services,1,Remote
Finance,High School,Finance,85000,DevOps Engineer,Education,7,Remote
Programming,Master's,Tech,70000,DevOps Engineer,Creative Arts,10,On-Site
Data Analysis,Master's,Engineering,85000,Plumber,Trades,2,Remote
Problem Solving,Bachelor's,Writing,45000,Physical Therapist,Social Services,10,Remote
Design,Associate's,Education,190000,Web Developer,Creative Arts,0,Remote
Teaching,High School,Social Work,50000,Biomedical Engineer,Healthcare,7,On-Site
Writing,High School,Health,80000,Software Developer,Social Services,7,Remote
Finance,High School,Social Work,180000,Entrepreneur,Technology,3,Remote
Data Analysis,PhD,Engineering,95000,Nurse Practitioner,Creative Arts,10,Remote
Design,Master's,Environment,85000,Video Game Designer,Education,7,Remote
Data Analysis,PhD,Engineering,30000,Video Game Designer,Education,6,Remote
Problem Solving,PhD,Tech,55000,DevOps Engineer,Finance,4,On-Site
Critical Thinking,Master's,Environment,60000,Physical Therapist,Engineering,5,Remote
Teaching,Bachelor's,Writing,50000,Data Scientist,Education,3,Remote
Writing,PhD,Art,75000,Sustainable Designer,Environment,5,Remote
Critical Thinking,Associate's,Finance,50000,Business Consultant,Environment,10,On-Site
Programming,Master's,Finance,115000,Auto Mechanic,Environment,3,On-Site
Teaching,Associate's,Education,75000,Entrepreneur,Education,6,On-Site
Data Analysis,PhD,Art,30000,Business Consultant,Education,6,Remote
Teamwork,Bachelor's,Tech,140000,Physical Therapist,Education,8,Remote
Finance,Bachelor's,Environment,135000,Nurse Practitioner,Environment,0,On-Site
Marketing,High School,Social Work,60000,Wind Turbine Technician,Engineering,5,Remote
Problem Solving,Bachelor's,Education,65000,Sustainable Designer,Education,8,Remote
Public Speaking,Bachelor's,Environment,40000,Biomedical Engineer,Engineering,3,Remote
Programming,Associate's,Finance,110000,Astronomer,Environment,5,On-Site
Writing,Master's,Tech,70000,Food Taster,Engineering,1,Remote
Healthcare,Master's,Social Work,90000,Video Game Designer,Environment,5,Remote
Engineering,Bachelor's,Finance,45000,Elevator Mechanic,Trades,5,Remote
Engineering,High School,Tech,135000,Professional Cuddler,Engineering,2,On-Site
Programming,Associate's,Social Work,120000,Wind Turbine Technician,Education,5,Remote
Design,PhD,Education,55000,Filmmaker,Environment,10,Remote
Critical Thinking,Bachelor's,Social Work,65000,Nurse Practitioner,Technology,10,Remote
Healthcare,PhD,Finance,195000,Physical Therapist,Social Services,7,On-Site
Engineering,Bachelor's,Finance,145000,Filmmaker,Environment,9,Remote
Programming,PhD,Engineering,80000,Software Developer,Business,4,On-Site
Programming,Master's,Social Work,45000,Web Developer,Creative Arts,3,Remote
Writing,PhD,Engineering,105000,Ethical Hacker,Business,5,On-Site
Design,High School,Engineering,85000,Software Developer,Finance,6,On-Site
Writing,PhD,Social Work,40000,Video Game Designer,Creative Arts,9,Remote
Finance,Bachelor's,Education,135000,Marine Biologist,Business,2,On-Site
Data Analysis,PhD,Health,55000,Photographer,Education,7,On-Site
Writing,Associate's,Tech,135000,Nurse Practitioner,Healthcare,1,On-Site
Problem Solving,Associate's,Social Work,40000,Physical Therapist,Healthcare,8,On-Site
Problem Solving,Bachelor's,Business,130000,Professional Cuddler,Healthcare,3,Remote
Marketing,PhD,Tech,90000,Software Developer,Technology,2,Remote
Engineering,Associate's,Tech,130000,Animator,Engineering,7,Remote
Finance,Bachelor's,Finance,65000,Video Game Designer,Healthcare,2,Remote
Engineering,Master's,Finance,180000,Physical Therapist,Trades,2,On-Site
Marketing,Associate's,Health,75000,Astronomer,Environment,2,Remote
Data Analysis,Associate's,Business,115000,Web Developer,Business,1,Remote
Design,Master's,Environment,195000,Marine Biologist,Business,7,Remote
Design,Master's,Education,170000,Music Producer,Creative Arts,10,On-Site
Problem Solving,High School,Social Work,45000,Data Scientist,Trades,9,On-Site
Teaching,Master's,Environment,115000,Video Game Designer,Technology,0,On-Site
Problem Solving,Bachelor's,Health,175000,Photographer,Healthcare,3,On-Site
Teamwork,Associate's,Social Work,195000,Plumber,Environment,2,On-Site
Public Speaking,PhD,Business,125000,Astronomer,Engineering,3,Remote
Public Speaking,Bachelor's,Environment,50000,Fashion Designer,Trades,6,On-Site
Problem Solving,PhD,Art,120000,Civil Engineer,Environment,10,On-Site
Design,Bachelor's,Art,140000,Music Producer,Healthcare,8,Remote
Management,PhD,Health,115000,Food Taster,Finance,3,Remote
Writing,PhD,Finance,170000,Astronomer,Engineering,3,On-Site
Data Analysis,Associate's,Engineering,90000,Professional Cuddler,Engineering,10,Remote
Teaching,PhD,Business,170000,Marine Biologist,Engineering,4,Remote
Design,PhD,Education,170000,Marketing Manager,Trades,5,Remote
Data Analysis,Bachelor's,Health,45000,Astronomer,Healthcare,4,Remote
Finance,PhD,Writing,60000,Data Scientist,Education,2,On-Site
Problem Solving,Master's,Tech,105000,Elevator Mechanic,Creative Arts,1,On-Site
Teamwork,Bachelor's,Business,85000,Genetic Counselor,Technology,1,On-Site
Management,Master's,Finance,150000,Professional Cuddler,Healthcare,1,Remote
Writing,High School,Engineering,155000,Plumber,Business,8,Remote
Engineering,High School,Education,140000,Food Taster,Technology,8,On-Site
Marketing,Master's,Health,180000,Physical Therapist,Technology,3,On-Site
Writing,Bachelor's,Education,95000,Genetic Counselor,Social Services,1,On-Site
Management,High School,Business,135000,Wind Turbine Technician,Social Services,3,Remote
Writing,High School,Business,140000,Marine Biologist,Technology,10,On-Site
Healthcare,High School,Engineering,40000,Plumber,Healthcare,5,Remote
Healthcare,High School,Environment,50000,Fashion Designer,Technology,2,On-Site
Data Analysis,Bachelor's,Tech,90000,Business Consultant,Technology,3,Remote
Design,High School,Social Work,50000,Photographer,Environment,6,Remote
Engineering,Master's,Environment,140000,Plumber,Business,2,On-Site
Teaching,Bachelor's,Social Work,185000,Physical Therapist,Healthcare,3,Remote
Public Speaking,High School,Environment,155000,Photographer,Business,1,Remote
Data Analysis,Associate's,Tech,50000,Ethical Hacker,Education,4,Remote
Programming,Bachelor's,Finance,190000,Web Developer,Social Services,3,On-Site
Writing,High School,Art,160000,Elevator Mechanic,Social Services,8,Remote
Design,High School,Engineering,65000,DevOps Engineer,Trades,4,On-Site
Public Speaking,Bachelor's,Engineering,135000,Wind Turbine Technician,Finance,1,On-Site
Public Speaking,High School,Writing,95000,Auto Mechanic,Engineering,3,Remote
Healthcare,Master's,Writing,50000,Business Consultant,Education,10,Remote
Engineering,Associate's,Business,110000,Music Producer,Engineering,10,On-Site
Engineering,PhD,Environment,180000,Wind Turbine Technician,Creative Arts,7,On-Site
Teaching,Master's,Health,55000,Environmental Scientist,Education,10,On-Site
Programming,Bachelor's,Tech,90000,Software Developer,Engineering,5,Remote
Management,Master's,Education,120000,Nurse Practitioner,Environment,1,On-Site
Marketing,Master's,Education,190000,Web Developer,Business,8,Remote
Healthcare,Associate's,Health,45000,Filmmaker,Technology,7,On-Site
Management,Bachelor's,Art,175000,Plumber,Technology,2,Remote
Teaching,Associate's,Health,140000,Filmmaker,Social Services,4,Remote
Critical Thinking,Master's,Finance,80000,Fashion Designer,Engineering,9,Remote
Programming,High School,Art,135000,Data Scientist,Education,5,On-Site
Public Speaking,PhD,Engineering,60000,Entrepreneur,Business,8,Remote
Public Speaking,PhD,Engineering,50000,Entrepreneur,Business,9,On-Site
Finance,High School,Finance,85000,Data Scientist,Technology,10,Remote
Engineering,PhD,Art,190000,Music Producer,Trades,0,Remote
Data Analysis,PhD,Education,195000,Sustainable Designer,Environment,6,Remote
Management,Master's,Finance,160000,Information Security Analyst,Creative Arts,3,Remote
Healthcare,PhD,Social Work,195000,Plumber,Social Services,8,Remote
Programming,PhD,Business,80000,Data Scientist,Environment,7,Remote
Engineering,PhD,Business,160000,Animator,Creative Arts,5,Remote
Writing,PhD,Business,195000,DevOps Engineer,Creative Arts,6,On-Site
Writing,Master's,Business,175000,Filmmaker,Trades,4,On-Site
Finance,Master's,Business,85000,Data Scientist,Trades,1,Remote
Finance,Bachelor's,Engineering,125000,Auto Mechanic,Finance,5,Remote
Data Analysis,Associate's,Business,105000,Civil Engineer,Social Services,1,On-Site
Healthcare,PhD,Finance,125000,Plumber,Business,4,On-Site
Teaching,Bachelor's,Education,30000,Environmental Scientist,Education,5,On-Site
Teamwork,PhD,Social Work,140000,Elevator Mechanic,Trades,5,Remote
Data Analysis,Associate's,Education,170000,Biomedical Engineer,Engineering,4,On-Site
Management,Master's,Environment,120000,Physical Therapist,Creative Arts,10,On-Site
Data Analysis,Master's,Business,195000,Fashion Designer,Education,8,Remote
Teaching,Bachelor's,Social Work,85000,Biomedical Engineer,Engineering,3,Remote
Data Analysis,PhD,Education,85000,Genetic Counselor,Creative Arts,7,On-Site
Teamwork,Master's,Engineering,145000,Entrepreneur,Education,6,Remote
Healthcare,Associate's,Business,55000,Civil Engineer,Engineering,3,Remote
Writing,PhD,Business,40000,Civil Engineer,Environment,0,On-Site
Healthcare,PhD,Finance,190000,Plumber,Trades,10,Remote
Management,Master's,Writing,145000,Biomedical Engineer,Trades,4,On-Site
Management,High School,Engineering,140000,Marketing Manager,Social Services,3,Remote
Data Analysis,Bachelor's,Environment,140000,Biomedical Engineer,Environment,2,Remote
Finance,PhD,Engineering,40000,Plumber,Engineering,4,On-Site
Writing,Master's,Engineering,70000,Web Developer,Social Services,2,On-Site
Public Speaking,Bachelor's,Education,105000,Entrepreneur,Finance,2,On-Site
Writing,Associate's,Education,100000,Information Security Analyst,Technology,6,Remote
Critical Thinking,Bachelor's,Education,175000,Web Developer,Business,4,On-Site
Public Speaking,Associate's,Health,55000,Professional Cuddler,Education,9,On-Site
Engineering,Bachelor's,Business,50000,Plumber,Technology,1,Remote
Public Speaking,Master's,Tech,165000,Elevator Mechanic,Education,6,On-Site
Public Speaking,Associate's,Finance,60000,Astronomer,Creative Arts,0,On-Site
Critical Thinking,Associate's,Environment,140000,Sustainable Designer,Business,8,Remote
Problem Solving,Associate's,Engineering,120000,Professional Cuddler,Creative Arts,8,Remote
Teaching,High School,Health,60000,Nurse Practitioner,Finance,1,Remote
Management,Bachelor's,Engineering,115000,Data Scientist,Environment,1,On-Site
Writing,Associate's,Art,65000,Elevator Mechanic,Healthcare,8,On-Site
Programming,Master's,Writing,195000,Software Developer,Education,6,On-Site
Management,High School,Business,55000,Software Developer,Education,7,Remote
Programming,PhD,Art,85000,Physical Therapist,Technology,2,On-Site
Design,Master's,Business,60000,Nurse Practitioner,Education,9,Remote
Critical Thinking,High School,Finance,80000,Fashion Designer,Business,3,On-Site
Writing,Bachelor's,Tech,110000,Sustainable Designer,Technology,2,On-Site
Critical Thinking,High School,Writing,90000,Marketing Manager,Trades,5,Remote
Programming,PhD,Writing,185000,Photographer,Environment,10,On-Site
Public Speaking,Associate's,Tech,50000,Entrepreneur,Business,3,Remote
Public Speaking,Bachelor's,Engineering,105000,Filmmaker,Engineering,3,On-Site
Critical Thinking,High School,Tech,105000,Animator,Environment,9,Remote
Teaching,Bachelor's,Environment,100000,Auto Mechanic,Social Services,6,Remote
Critical Thinking,PhD,Environment,170000,Plumber,Creative Arts,1,Remote
Design,Associate's,Environment,195000,Information Security Analyst,Trades,8,Remote
Teamwork,High School,Engineering,30000,Sustainable Designer,Technology,6,Remote
Marketing,Associate's,Finance,35000,Wind Turbine Technician,Creative Arts,2,Remote
Marketing,Master's,Health,185000,DevOps Engineer,Business,9,Remote
Design,High School,Finance,35000,Environmental Scientist,Environment,3,Remote
Data Analysis,Associate's,Tech,185000,Photographer,Education,2,Remote
Data Analysis,PhD,Engineering,190000,Environmental Scientist,Education,4,On-Site
Writing,Master's,Social Work,100000,Web Developer,Healthcare,9,Remote
Design,Master's,Tech,145000,Biomedical Engineer,Education,0,Remote
Management,Associate's,Health,70000,Nurse Practitioner,Education,1,On-Site
Writing,Bachelor's,Engineering,105000,Ethical Hacker,Education,7,On-Site
Teaching,Bachelor's,Tech,175000,Filmmaker,Finance,10,On-Site
Programming,PhD,Business,50000,Auto Mechanic,Education,10,On-Site
Finance,High School,Tech,60000,Professional Cuddler,Creative Arts,7,Remote
Marketing,High School,Education,170000,Civil Engineer,Social Services,10,On-Site
Critical Thinking,Master's,Finance,105000,Sustainable Designer,Creative Arts,3,On-Site
Programming,Bachelor's,Environment,45000,Astronomer,Trades,9,On-Site
Critical Thinking,Master's,Art,35000,Auto Mechanic,Finance,7,Remote
Management,PhD,Health,195000,Business Consultant,Finance,5,Remote
Teaching,High School,Environment,115000,Wind Turbine Technician,Social Services,9,On-Site
Problem Solving,Master's,Finance,45000,Software Developer,Finance,4,Remote
Programming,Associate's,Tech,80000,DevOps Engineer,Engineering,10,Remote
Problem Solving,Associate's,Business,110000,Elevator Mechanic,Social Services,2,Remote
Problem Solving,Bachelor's,Art,40000,Video Game Designer,Social Services,10,Remote
Finance,Master's,Art,70000,Marketing Manager,Healthcare,8,On-Site
Teamwork,Bachelor's,Education,30000,Ethical Hacker,Environment,8,On-Site
Critical Thinking,Bachelor's,Writing,35000,Professional Cuddler,Healthcare,6,Remote
Design,PhD,Finance,155000,Entrepreneur,Finance,0,On-Site
Writing,Associate's,Tech,55000,Biomedical Engineer,Healthcare,0,Remote
Data Analysis,Master's,Education,30000,Animator,Creative Arts,0,On-Site
Design,Bachelor's,Social Work,115000,Information Security Analyst,Technology,3,On-Site
Healthcare,Bachelor's,Tech,130000,DevOps Engineer,Engineering,9,Remote
Finance,PhD,Tech,160000,Video Game Designer,Technology,1,Remote
Problem Solving,High School,Engineering,100000,DevOps Engineer,Finance,9,On-Site
Writing,High School,Writing,145000,Business Consultant,Creative Arts,3,On-Site
Public Speaking,Bachelor's,Health,150000,Civil Engineer,Environment,2,On-Site
Marketing,Bachelor's,Engineering,40000,Civil Engineer,Healthcare,9,Remote
Programming,Associate's,Tech,125000,Elevator Mechanic,Trades,1,On-Site
Marketing,Associate's,Engineering,95000,Web Developer,Technology,1,On-Site
Programming,Associate's,Writing,75000,Wind Turbine Technician,Education,2,On-Site
Public Speaking,Master's,Art,125000,Physical Therapist,Environment,2,Remote
